BFS_NR,NAME,n_fangt_s_Iis_aa_schmelze,n_fangt_s_Iis_afa_schmelze,n_schmilzt_s_Iis,n_tot,dominant,long,lat
100_1,Stadel,8,0,1,10,1,677477.3,264643.6
1003_1,Escholzmatt,0,4,2,7,2,637734.7,195957.8
1004_1,Fluehli,1,3,1,5,2,644033.3,192599.5
1008_1,Schuepfheim,0,4,1,5,2,643908.6,200096.3
1021_1,Aesch (LU),1,5,0,6,2,660752.8,234197.8
1026_1,Eschenbach (LU),1,6,0,7,2,666857.4,220562.8
1039_1,Roemerswil,1,5,0,6,2,661103.6,224627.1
1058_1,Horw,0,6,0,7,2,666038.3,207711.5
1061_1,Luzern,0,6,0,6,2,666114.5,210876.1
1069_1,Weggis,1,3,1,5,2,676002.1,209594.1
1086_1,Grosswangen,1,9,0,10,2,646436,220413.5
1093_1,Neuenkirch,0,6,3,10,2,658025.1,216810.3
1098_1,Ruswil,1,6,0,7,2,652245.2,214974.3
1102_1,Sempach,2,6,2,9,2,657099.1,220921.3
1103_1,Sursee,0,4,1,5,2,650876.4,224849.1
1104_1,Triengen,0,3,2,5,2,648321.5,231684.8
1107_1,Wolhusen,2,5,1,7,2,648252.3,212485.6
111_1,Baeretswil,4,2,3,9,1,707167.9,243705.8
1125_1,Dagmersellen,1,4,1,6,2,641721.9,229247.3
1139_1,Pfaffnau,1,4,1,6,2,634650.2,230757.2
115_1,Gossau (ZH),5,0,0,5,1,699833.9,240433.9
1150_1,Zell (LU),0,6,0,6,2,636746.1,220704.2
12_1,Rifferswil,3,0,1,5,1,680054.9,232997.4
120_1,Wald (ZH),6,0,3,8,1,711579.5,236954.7
1201_1,Altdorf (UR),1,5,2,8,2,690942.8,192333.2
1202_1,Andermatt,0,5,1,6,2,688756.5,165378.5
1208_1,Goeschenen,1,5,1,8,2,687824.5,169160.6
1209_1,Gurtnellen,1,5,0,6,2,690886.4,176996.9
1211_1,Isenthal,1,9,0,12,2,685630.4,196128.8
1216_1,Silenen,0,0,3,6,3,693962.931,183023.888
1219_1,Unterschaechen,0,7,2,9,2,701463,191131.1
13_1,Stallikon,5,0,3,8,1,679475.3,242096.1
1323_1,Wollerau,3,1,0,5,1,697061.1,227997.6
1331_1,Kuessnacht (SZ),0,6,0,6,2,675545.8,215230.6
134_1,Huetten,5,1,1,7,1,692706.7,225643.3
1343_1,Innerthal,2,0,3,6,3,712339.7,218210.9
1344_1,Lachen,6,0,1,6,1,707043.1,227798.5
1347_1,Tuggen,3,1,1,5,1,714199.8,229148.3
136_1,Langnau am Albis,5,0,1,6,1,683604.1,237969.1
1361_1,Alpthal,0,3,1,5,2,696991.1,214100.6
1364_1,Ingenbohl,0,13,1,14,2,689606.434,206371.967
1367_1,Muotathal,0,5,4,8,2,700265.4,203588.5
1368_1,Oberiberg,1,4,0,5,2,702100.8,210733.9
1372_1,Schwyz,1,6,1,7,2,692370.3,208484.8
1401_1,Alpnach,2,6,1,10,2,663442.1,199224.6
1402_1,Engelberg,0,4,0,5,2,673895.4,185875.4
1403_1,Giswil,1,8,1,11,2,657050.959,187589.132
1404_1,Kerns,2,3,0,5,2,663753.6,194747.1
1405_1,Lungern,2,5,2,10,2,655064,181883
1407_1,Sarnen,1,6,0,7,2,661497.1,194115.9
141_1,Thalwil,5,0,0,6,1,685134.3,239017.3
142_1,Waedenswil,7,0,1,8,1,693649.5,231638.1
1509_1,Stans,2,3,0,5,2,670602.9,201063.8
1511_1,Wolfenschiessen,3,4,4,12,3,672929.4,195668.3
156_1,Meilen,5,0,2,8,1,691254.6,236105.7
1605_1,Elm,2,0,2,5,3,732020.3,197887.3
1606_1,Engi,8,0,2,10,1,730437.8,204964.4
1609_1,Glarus,8,1,3,14,1,723875.1,211327.2
1613_1,Linthal,5,1,3,9,1,718741,197583.1
1617_1,Mollis,7,0,2,9,1,724263.3,217182.5
1619_1,Naefels,10,1,2,12,1,723309.6,217750.6
1624_1,Obstalden,5,0,2,6,1,729917.3,219884.6
1627_1,Schwanden (GL),12,4,4,21,1,724444.4,206098.1
1703_1,Huenenberg,1,8,1,10,2,674607,225481.2
1704_1,Menzingen,2,4,1,7,2,687288.1,225931.2
1706_1,Oberaegeri,0,5,4,9,2,689212.3,221052.2
171_1,Bauma,6,0,3,8,1,708631.8,247238.8
1710_1,Walchwil,1,2,1,4,2,681700.5,217137.8
1711_1,Zug,3,7,0,10,2,681313.3,225432.7
174_1,Illnau-Effretikon,12,0,2,15,1,696930,251676.6
177_1,Pfaeffikon,6,0,1,8,1,701689.4,247120.8
179_1,Sternenberg,3,0,1,6,1,711174.9,249510.4
192_1,Egg,4,0,1,6,1,694666.4,239491.7
193_1,Faellanden,4,0,0,4,1,690649.7,247343.2
195_1,Maur,7,0,1,8,1,693024.8,244020.1
198_1,Uster,7,0,0,8,1,696680.1,245189.9
2138_1,Jaun,1,3,0,6,2,587464.9,162177.3
217_1,Elgg,5,0,0,5,1,707609.6,260929.3
218_1,Ellikon an der Thur,6,0,1,7,1,704297.6,268955.9
2196_1,Fribourg,0,7,0,8,2,578460.6,183802.2
223_1,Neftenbach,3,0,0,3,1,692601.3,264925.7
2262_1,Gurmels,2,2,0,5,1,579669.7,193515.4
2275_1,Murten,0,6,0,6,2,575661.7,197634.9
228_1,Turbenthal,8,0,1,9,1,706004.5,255005.1
2293_1,Duedingen,1,4,0,5,2,580980.6,188850.1
2294_1,Giffers,2,6,0,10,2,582545.3,178942
2296_1,Heitenried,1,6,1,8,2,589593.3,186009.8
2299_1,Plaffeien,0,5,1,6,2,588216.6,168849.3
2299_1,Plaffeien,0,5,1,6,2,588484.4,176610.7
2306_1,Tafers,0,4,1,5,2,583008.8,184899
2428_1,Muemliswil-Ramiswil,0,3,0,4,2,619981.2,243387.6
2429_1,Welschenrohr,0,4,0,4,2,606351.936,236540.681
2444_1,Bibern (SO),1,3,1,6,2,601431.4,221662.4
2461_1,Schnottwil,1,5,1,7,2,596329.3,217879.6
2477_1,Metzerlen-Mariastein,0,4,1,5,2,602093.019,257355.389
250_1,Urdorf,8,0,0,9,1,674395.5,248420.2
2511_1,Aeschi (SO),0,8,0,8,2,616834.7,225580.8
2543_1,Bettlach,0,8,0,8,2,598899.3,227977.2
2582_1,Rickenbach (SO),0,5,1,6,2,631543.9,243334.9
2601_1,Solothurn,0,3,0,3,2,608049.6,228173.9
261_1,Zuerich,5,0,2,8,1,682735.8,248230.3
2615_1,Erschwil,0,8,1,9,2,607760.1,247019.5
2619_1,Kleinluetzel,1,4,0,5,2,598509,252835.8
2621_1,Nunningen,0,6,0,6,2,613664.2,249191.1
