id;lon;lat;label;value;x_ch;y_ch
1;10.205222;46.688744;Gaemse;4;811594;174567
2;10.196827;46.689065;Gaemse;9;810951;174580
3;10.200614;46.686633;Gaemse;4;811250;174320
4;10.202473;46.68233;Gaemse;1;811409;173847
5;10.208248;46.686807;Gaemse;1;811833;174360
6;10.199507;46.683149;Gaemse;1;811179;173930
7;10.206087;46.690307;Gaemse;2;811654;174743
8;10.207576;46.69181;Gaemse;44;811762;174914
9;10.211508;46.69094;Gaemse;11;812066;174828
10;10.217704;46.688818;Gaemse;28;812548;174609
11;10.220012;46.687907;Gaemse;4;812728;174514
12;10.208886;46.689807;Gaemse;1;811870;174695
13;10.204397;46.687207;Gaemse;3;811537;174394
14;10.204257;46.688551;Gaemse;5;811521;174543
15;10.201266;46.68659;Gaemse;1;811300;174317
16;10.199026;46.68884;Gaemse;12;811120;174561
17;10.208797;46.68629;Gaemse;19;811877;174304
18;10.204278;46.691521;Gaemse;4;811511;174873
19;10.212285;46.687465;Gaemse;15;812139;174444
20;10.213717;46.68887;Gaemse;11;812243;174604
21;10.206681;46.69221;Gaemse;1;811692;174956
22;10.204559;46.68705;Gaemse;2;811550;174377
23;10.204867;46.688213;Gaemse;6;811569;174507
24;10.20602;46.6885;Gaemse;4;811656;174542
25;10.205899;46.680023;Gaemse;1;811680;173600
26;10.201983;46.681442;Gaemse;1;811375;173747
27;10.203955;46.681646;Gaemse;1;811525;173775
28;10.207399;46.685037;Gaemse;1;811775;174161
29;10.219204;46.689232;Gaemse;13;812661;174659
30;10.221373;46.689188;Gaemse;1;812827;174660
31;10.218226;46.691587;Gaemse;2;812577;174918
32;10.222115;46.691159;Gaemse;1;812876;174881
33;10.201865;46.691652;Gaemse;1;811326;174881
34;10.206605;46.693022;Gaemse;1;811683;175046
35;10.223762;46.692397;Gaemse;65;812997;175023
36;10.203149;46.679703;Gaemse;3;811471;173557
37;10.201157;46.681651;Gaemse;5;811311;173768
38;10.204116;46.681201;Gaemse;1;811539;173726
39;10.206725;46.685161;Gaemse;1;811723;174173
40;10.204953;46.687076;Gaemse;12;811580;174381
41;10.203635;46.688674;Gaemse;6;811473;174555
42;10.20394;46.684671;Gaemse;1;811512;174111
43;10.202752;46.687013;Gaemse;6;811412;174368
44;10.20347;46.686212;Gaemse;1;811470;174281
45;10.204451;46.687233;Gaemse;1;811541;174397
46;10.206323;46.689302;Gaemse;5;811676;174632
47;10.208294;46.688201;Gaemse;2;811831;174515
48;10.203537;46.681143;Gaemse;1;811495;173718
49;10.203197;46.689567;Gaemse;1;811436;174653
50;10.20993;46.688729;Gaemse;1;811954;174578
51;10.194141;46.688193;Gaemse;2;810749;174476
52;10.201389;46.681582;Gaemse;1;811329;173761
53;10.195383;46.687677;Gaemse;1;810846;174422
54;10.20055;46.684366;Gaemse;3;811254;174068
55;10.195945;46.691255;Gaemse;1;810875;174821
56;10.2014;46.686649;Gaemse;2;811310;174324
57;10.20118;46.6885;Gaemse;1;811286;174529
58;10.204197;46.69299;Gaemse;5;811499;175036
59;10.206872;46.684968;Gaemse;2;811735;174152
60;10.209758;46.686149;Gaemse;3;811951;174291
61;10.212831;46.687146;Gaemse;7;812182;174410
62;10.216914;46.687694;Gaemse;12;812492;174482
63;10.203465;46.685348;Gaemse;3;811473;174185
64;10.202839;46.687425;Gaemse;2;811417;174414
65;10.206132;46.687363;Gaemse;3;811669;174416
66;10.204011;46.682473;Gaemse;8;811526;173867
67;10.211322;46.690108;Gaemse;1;812055;174735
68;10.207523;46.687194;Gaemse;1;811776;174401
69;10.2088;46.688378;Gaemse;4;811869;174536
70;10.207292;46.687803;Gaemse;1;811756;174468
71;10.203875;46.689533;Gaemse;1;811488;174651
72;10.204608;46.686725;Gaemse;2;811555;174341
73;10.201403;46.686973;Gaemse;4;811309;174360
74;10.204931;46.679498;Gaemse;2;811608;173539
75;10.218934;46.687555;Gaemse;1;812647;174472
76;10.216707;46.691039;Gaemse;3;812463;174853
77;10.213992;46.692437;Gaemse;25;812250;175001
78;10.210413;46.690499;Gaemse;10;811984;174776
79;10.208985;46.684602;Gaemse;3;811898;174117
80;10.210859;46.684412;Gaemse;1;812042;174101
81;10.207227;46.691378;Gaemse;16;811737;174865
82;10.20707;46.690607;Gaemse;1;811728;174779
83;10.20371;46.686305;Gaemse;1;811488;174292
84;10.202379;46.689686;Gaemse;1;811373;174664
85;10.204259;46.689622;Gaemse;2;811517;174662
86;10.201045;46.688152;Gaemse;1;811277;174490
87;10.209463;46.687543;Gaemse;1;811923;174445
88;10.20217;46.681257;Gaemse;1;811390;173727
89;10.200122;46.684691;Gaemse;1;811220;174103
90;10.198244;46.685556;Gaemse;1;811073;174194
91;10.196067;46.690055;Gaemse;2;810889;174688
92;10.197463;46.691515;Gaemse;1;810990;174854
93;10.214963;46.688669;Gaemse;16;812339;174585
94;10.205392;46.684932;Gaemse;7;811622;174144
95;10.207779;46.685315;Gaemse;2;811803;174193
96;10.208913;46.689824;Gaemse;2;811872;174697
97;10.213382;46.692263;Gaemse;4;812204;174980
98;10.21925;46.691148;Gaemse;1;812657;174872
99;10.214301;46.686732;Gaemse;3;812296;174368
100;10.204435;46.693039;Gaemse;1;811517;175042
101;10.217813;46.691939;Gaemse;3;812544;174956
102;10.197952;46.684465;Gaemse;13;811055;174072
103;10.198322;46.688371;Gaemse;9;811068;174507
104;10.209137;46.689333;Gaemse;1;811891;174643
105;10.201795;46.686964;Gaemse;3;811339;174360
106;10.208601;46.687051;Gaemse;17;811859;174388
107;10.212424;46.686877;Gaemse;13;812152;174379
108;10.205691;46.684385;Gaemse;5;811647;174084
109;10.207017;46.679879;Gaemse;3;811766;173587
110;10.206091;46.689884;Gaemse;4;811656;174696
111;10.212119;46.688306;Gaemse;2;812123;174537
112;10.20778;46.687107;Gaemse;2;811796;174392
113;10.205499;46.683697;Gaemse;5;811635;174007
114;10.202049;46.681197;Gaemse;2;811381;173720
115;10.20052;46.685825;Gaemse;3;811246;174230
116;10.198836;46.687675;Gaemse;2;811110;174431
